"","gene_id","gene_biotype.x","gene_name"
"109","ENSG00000211655","IG_V_gene","IGLV1-36"
"110","ENSG00000211656","IG_V_gene","IGLV2-33"
"111","ENSG00000211657","IG_V_gene","IGLV3-32"
"112","ENSG00000211658","IG_V_gene","IGLV3-27"
"113","ENSG00000211659","IG_V_gene","IGLV3-25"
"114","ENSG00000211660","IG_V_gene","IGLV2-23"
"115","ENSG00000211661","IG_V_gene","IGLV3-22"
"116","ENSG00000211662","IG_V_gene","IGLV3-21"
"117","ENSG00000211663","IG_V_gene","IGLV3-19"
"118","ENSG00000211664","IG_V_gene","IGLV2-18"
"119","ENSG00000211665","IG_V_gene","IGLV3-16"
"120","ENSG00000211666","IG_V_gene","IGLV2-14"
"121","ENSG00000211667","IG_V_gene","IGLV3-12"
"122","ENSG00000211668","IG_V_gene","IGLV2-11"
"123","ENSG00000211669","IG_V_gene","IGLV3-10"
"124","ENSG00000211670","IG_V_gene","IGLV3-9"
"125","ENSG00000211672","IG_V_gene","IGLV4-3"
"126","ENSG00000211673","IG_V_gene","IGLV3-1"
"127","ENSG00000211933","IG_V_gene","IGHV6-1"
"128","ENSG00000211934","IG_V_gene","IGHV1-2"
"129","ENSG00000211935","IG_V_gene","IGHV1-3"
"130","ENSG00000211937","IG_V_gene","IGHV2-5"
"131","ENSG00000211938","IG_V_gene","IGHV3-7"
"132","ENSG00000211941","IG_V_gene","IGHV3-11"
"133","ENSG00000211942","IG_V_gene","IGHV3-13"
"134","ENSG00000211943","IG_V_gene","IGHV3-15"
"135","ENSG00000211944","IG_V_gene","IGHV3-16"
"136","ENSG00000211945","IG_V_gene","IGHV1-18"
"137","ENSG00000211946","IG_V_gene","IGHV3-20"
"138","ENSG00000211947","IG_V_gene","IGHV3-21"
"139","ENSG00000211949","IG_V_gene","IGHV3-23"
"140","ENSG00000211950","IG_V_gene","IGHV1-24"
"141","ENSG00000211951","IG_V_gene","IGHV2-26"
"142","ENSG00000211952","IG_V_gene","IGHV4-28"
"143","ENSG00000211955","IG_V_gene","IGHV3-33"
"144","ENSG00000211956","IG_V_gene","IGHV4-34"
"145","ENSG00000211957","IG_V_gene","IGHV3-35"
"146","ENSG00000211958","IG_V_gene","IGHV3-38"
"147","ENSG00000211959","IG_V_gene","IGHV4-39"
"148","ENSG00000211961","IG_V_gene","IGHV1-45"
"149","ENSG00000211962","IG_V_gene","IGHV1-46"
"150","ENSG00000211964","IG_V_gene","IGHV3-48"
"151","ENSG00000211965","IG_V_gene","IGHV3-49"
"152","ENSG00000211966","IG_V_gene","IGHV5-51"
"153","ENSG00000211967","IG_V_gene","IGHV3-53"
"154","ENSG00000211968","IG_V_gene","IGHV1-58"
"155","ENSG00000211970","IG_V_gene","IGHV4-61"
"156","ENSG00000211972","IG_V_gene","IGHV3-66"
"157","ENSG00000211973","IG_V_gene","IGHV1-69"
"158","ENSG00000211974","IG_V_gene","IGHV2-70D"
"159","ENSG00000211976","IG_V_gene","IGHV3-73"
"160","ENSG00000211979","IG_V_gene","IGHV7-81"
"161","ENSG00000223350","IG_V_gene","IGLV9-49"
"162","ENSG00000223648","IG_V_gene","IGHV3-64"
"163","ENSG00000224041","IG_V_gene","IGKV3D-15"
"164","ENSG00000224373","IG_V_gene","IGHV4-59"
"165","ENSG00000224650","IG_V_gene","IGHV3-74"
"166","ENSG00000225523","IG_V_gene","IGKV6D-21"
"167","ENSG00000225698","IG_V_gene","IGHV3-72"
"168","ENSG00000228325","IG_V_gene","IGKV3D-7"
"169","ENSG00000231292","IG_V_gene","IGKV1OR2-108"
"170","ENSG00000231475","IG_V_gene","IGHV4-31"
"171","ENSG00000232216","IG_V_gene","IGHV3-43"
"172","ENSG00000233732","IG_V_gene","IGHV3OR16-10"
"173","ENSG00000233999","IG_V_gene","IGKV3OR2-268"
"174","ENSG00000239571","IG_V_gene","IGKV2D-30"
"175","ENSG00000239819","IG_V_gene","IGKV1D-8"
"176","ENSG00000239855","IG_V_gene","IGKV1-6"
"177","ENSG00000239862","IG_V_gene","IGKV1-37"
"178","ENSG00000239951","IG_V_gene","IGKV3-20"
"179","ENSG00000239975","IG_V_gene","IGKV1D-33"
"180","ENSG00000240382","IG_V_gene","IGKV1-17"
"181","ENSG00000240671","IG_V_gene","IGKV1-8"
"182","ENSG00000240864","IG_V_gene","IGKV1-16"
"183","ENSG00000241244","IG_V_gene","IGKV1D-16"
"184","ENSG00000241294","IG_V_gene","IGKV2-24"
"185","ENSG00000241351","IG_V_gene","IGKV3-11"
"186","ENSG00000241566","IG_V_gene","IGKV2D-24"
"187","ENSG00000241755","IG_V_gene","IGKV1-9"
"188","ENSG00000242076","IG_V_gene","IGKV1-33"
"189","ENSG00000242371","IG_V_gene","IGKV1-39"
"190","ENSG00000242534","IG_V_gene","IGKV2D-28"
"191","ENSG00000242580","IG_V_gene","IGKV1D-43"
"192","ENSG00000242766","IG_V_gene","IGKV1D-17"
"193","ENSG00000243063","IG_V_gene","IGKV3-7"
"194","ENSG00000243238","IG_V_gene","IGKV2-30"
"195","ENSG00000243264","IG_V_gene","IGKV2D-29"
"196","ENSG00000243290","IG_V_gene","IGKV1-12"
"197","ENSG00000243466","IG_V_gene","IGKV1-5"
"198","ENSG00000244116","IG_V_gene","IGKV2-28"
"199","ENSG00000244437","IG_V_gene","IGKV3-15"
"200","ENSG00000244575","IG_V_gene","IGKV1-27"
"201","ENSG00000250036","IG_V_gene","IGKV1D-37"
"202","ENSG00000251039","IG_V_gene","IGKV2D-40"
"203","ENSG00000251546","IG_V_gene","IGKV1D-39"
"204","ENSG00000254167","IG_V_gene","IGHV8-51-1"
"205","ENSG00000259261","IG_V_gene","IGHV4OR15-8"
"206","ENSG00000259303","IG_V_gene","IGHV2OR16-5"
"207","ENSG00000259490","IG_V_gene","IGHV3OR15-7"
"208","ENSG00000270467","IG_V_gene","IGHV3OR16-12"
"209","ENSG00000270472","IG_V_gene","IGHV3OR16-9"
"210","ENSG00000270505","IG_V_gene","IGHV1OR15-1"
"211","ENSG00000270550","IG_V_gene","IGHV3-30"
"212","ENSG00000271130","IG_V_gene","IGHV3OR16-8"
"213","ENSG00000271178","IG_V_gene","IGHV3OR16-13"
"214","ENSG00000273962","IG_V_gene","IGKV2-40"
"215","ENSG00000274576","IG_V_gene","IGHV2-70"
"216","ENSG00000276566","IG_V_gene","IGKV1D-13"
"217","ENSG00000276775","IG_V_gene","IGHV4-4"
"218","ENSG00000277282","IG_V_gene","IGHV1OR21-1"
"219","ENSG00000278196","IG_V_gene","IGLV2-8"
"220","ENSG00000278263","IG_V_gene",NA
"221","ENSG00000278857","IG_V_gene","IGKV1D-12"
"222","ENSG00000280411","IG_V_gene","IGHV1-69D"
"223","ENSG00000281179","IG_V_gene",NA
"224","ENSG00000281990","IG_V_gene","IGHV1-69-2"
"225","ENSG00000282122","IG_V_gene","IGHV7-4-1"
"226","ENSG00000282639","IG_V_gene","IGHV3-64D"
"227","ENSG00000282651","IG_V_gene","IGHV5-10-1"
"228","ENSG00000156755","IG_V_pseudogene","IGKV1OR-2"
"229","ENSG00000197794","IG_V_pseudogene","IGKV7-3"
"230","ENSG00000204670","IG_V_pseudogene","IGKV1OR2-3"
"231","ENSG00000204776","IG_V_pseudogene","IGKV1OR-3"
"232","ENSG00000204780","IG_V_pseudogene","IGKV1OR9-1"
"233","ENSG00000211978","IG_V_pseudogene","IGHV5-78"
"234","ENSG00000215177","IG_V_pseudogene","IGLV8OR8-1"
"235","ENSG00000224607","IG_V_pseudogene","IGKV1D-27"
"236","ENSG00000225380","IG_V_pseudogene","IGKV1OR9-2"
"237","ENSG00000226420","IG_V_pseudogene","IGLV3-4"
"238","ENSG00000229092","IG_V_pseudogene","IGHV3-47"
"239","ENSG00000230481","IG_V_pseudogene","IGKV1OR22-5"
"240","ENSG00000232747","IG_V_pseudogene","IGKV1D-35"
"241","ENSG00000235235","IG_V_pseudogene","IGKV1OR2-1"
"242","ENSG00000237592","IG_V_pseudogene","IGKV1OR10-1"
"243","ENSG00000243519","IG_V_pseudogene","IGLVIVOR22-2"
"244","ENSG00000253120","IG_V_pseudogene","IGLV2-34"
"245","ENSG00000253126","IG_V_pseudogene","IGLVI-56"
"246","ENSG00000253127","IG_V_pseudogene","IGKV2D-36"
"247","ENSG00000253131","IG_V_pseudogene","IGHV7-56"
"248","ENSG00000253132","IG_V_pseudogene","IGHV3-62"
"249","ENSG00000253149","IG_V_pseudogene","IGHVII-28-1"
"250","ENSG00000253152","IG_V_pseudogene","IGLV3-17"
"251","ENSG00000253158","IG_V_pseudogene","IGKV3-31"
"252","ENSG00000253169","IG_V_pseudogene","IGHVII-65-1"
"253","ENSG00000253191","IG_V_pseudogene","IGKV1D-32"
"254","ENSG00000253202","IG_V_pseudogene","IGKV3-25"
"255","ENSG00000253209","IG_V_pseudogene","IGHV3-65"
"256","ENSG00000253234","IG_V_pseudogene","IGLV2-5"
"257","ENSG00000253239","IG_V_pseudogene","IGLVI-70"
"258","ENSG00000253240","IG_V_pseudogene","IGHV3-36"
"259","ENSG00000253241","IG_V_pseudogene","IGHV3-50"
"260","ENSG00000253242","IG_V_pseudogene","IGLVIV-64"
"261","ENSG00000253247","IG_V_pseudogene","IGHV3-76"
"262","ENSG00000253265","IG_V_pseudogene","IGKV2-14"
"263","ENSG00000253274","IG_V_pseudogene","IGHV1-67"
"264","ENSG00000253278","IG_V_pseudogene","IGKV2-10"
"265","ENSG00000253294","IG_V_pseudogene","IGHVII-40-1"
"266","ENSG00000253303","IG_V_pseudogene","IGHVIII-82"
"267","ENSG00000253310","IG_V_pseudogene","IGHVIII-76-1"
"268","ENSG00000253325","IG_V_pseudogene","IGHV7-34-1"
"269","ENSG00000253329","IG_V_pseudogene","IGLV3-30"
"270","ENSG00000253338","IG_V_pseudogene","IGLV3-29"
"271","ENSG00000253345","IG_V_pseudogene","IGHVII-22-1"
"272","ENSG00000253359","IG_V_pseudogene","IGHV3-37"
"273","ENSG00000253365","IG_V_pseudogene","IGKV1D-22"
"274","ENSG00000253367","IG_V_pseudogene","IGHVIII-25-1"
"275","ENSG00000253386","IG_V_pseudogene","IGHVII-49-1"
"276","ENSG00000253387","IG_V_pseudogene","IGHVIII-5-1"
"277","ENSG00000253412","IG_V_pseudogene","IGHVIII-13-1"
"278","ENSG00000253435","IG_V_pseudogene","IGKV2-4"
"279","ENSG00000253440","IG_V_pseudogene","IGHV3-33-2"
"280","ENSG00000253441","IG_V_pseudogene","IGHV3-25"
"281","ENSG00000253448","IG_V_pseudogene","IGLV3-6"
"282","ENSG00000253451","IG_V_pseudogene","IGLV2-28"
"283","ENSG00000253458","IG_V_pseudogene","IGHVII-15-1"
"284","ENSG00000253460","IG_V_pseudogene","IGKV2OR22-3"
"285","ENSG00000253461","IG_V_pseudogene","IGKV1-35"
"286","ENSG00000253462","IG_V_pseudogene","IGHVIII-26-1"
"287","ENSG00000253465","IG_V_pseudogene","IGHVIV-44-1"
"288","ENSG00000253467","IG_V_pseudogene","IGHV7-40"
"289","ENSG00000253481","IG_V_pseudogene","IGKV1OR22-1"
"290","ENSG00000253482","IG_V_pseudogene","IGHVII-26-2"
"291","ENSG00000253487","IG_V_pseudogene","IGKV2-36"
"292","ENSG00000253491","IG_V_pseudogene","IGHVII-30-1"
"293","ENSG00000253497","IG_V_pseudogene","IGKV1-13"
"294","ENSG00000253501","IG_V_pseudogene","IGKV3D-34"
"295","ENSG00000253545","IG_V_pseudogene","IGHV3-52"
"296","ENSG00000253546","IG_V_pseudogene","IGLVVI-22-1"
"297","ENSG00000253578","IG_V_pseudogene","IGKV1-22"
"298","ENSG00000253587","IG_V_pseudogene","IGHV3-30-2"
"299","ENSG00000253590","IG_V_pseudogene","IGLV3-13"
"300","ENSG00000253592","IG_V_pseudogene","IGKV2-38"
"301","ENSG00000253625","IG_V_pseudogene","IGKV2-23"
"302","ENSG00000253631","IG_V_pseudogene","IGLV7-35"
"303","ENSG00000253635","IG_V_pseudogene","IGHVIII-67-3"
"304","ENSG00000253637","IG_V_pseudogene","IGLVV-58"
"305","ENSG00000253674","IG_V_pseudogene","IGHVII-78-1"
"306","ENSG00000253691","IG_V_pseudogene","IGKV2OR22-4"
"307","ENSG00000253703","IG_V_pseudogene","IGHV1-68"
"308","ENSG00000253709","IG_V_pseudogene","IGHV1-14"
"309","ENSG00000253714","IG_V_pseudogene","IGHVII-53-1"
"310","ENSG00000253732","IG_V_pseudogene","IGKV2-19"
"311","ENSG00000253742","IG_V_pseudogene","IGHV3-60"
"312","ENSG00000253747","IG_V_pseudogene","IGHVII-62-1"
"313","ENSG00000253752","IG_V_pseudogene","IGLVI-63"
"314","ENSG00000253759","IG_V_pseudogene","IGHV3-57"
"315","ENSG00000253763","IG_V_pseudogene","IGHV3-6"
"316","ENSG00000253765","IG_V_pseudogene","IGKV2D-19"
"317","ENSG00000253779","IG_V_pseudogene","IGLVVI-25-1"
"318","ENSG00000253780","IG_V_pseudogene","IGHVIII-2-1"
"319","ENSG00000253786","IG_V_pseudogene","IGLV3-15"
"320","ENSG00000253794","IG_V_pseudogene","IGLV10-67"
"321","ENSG00000253808","IG_V_pseudogene","IGHVII-46-1"
"322","ENSG00000253818","IG_V_pseudogene","IGLV1-41"
"323","ENSG00000253820","IG_V_pseudogene","IGHVII-67-1"
"324","ENSG00000253822","IG_V_pseudogene","IGLV3-24"
"325","ENSG00000253823","IG_V_pseudogene","IGLV1-62"
"326","ENSG00000253860","IG_V_pseudogene","IGKV3-34"
"327","ENSG00000253862","IG_V_pseudogene","IGHVIII-47-1"
"328","ENSG00000253870","IG_V_pseudogene","IGKV1-32"
"329","ENSG00000253874","IG_V_pseudogene","IGLVIV-66-1"
"330","ENSG00000253883","IG_V_pseudogene","IGHV3-19"
"331","ENSG00000253889","IG_V_pseudogene","IGLVI-38"
"332","ENSG00000253895","IG_V_pseudogene","IGHVII-44-2"
"333","ENSG00000253906","IG_V_pseudogene","IGKV2D-10"
"334","ENSG00000253913","IG_V_pseudogene","IGLV3-26"
"335","ENSG00000253920","IG_V_pseudogene","IGLV3-31"
"336","ENSG00000253935","IG_V_pseudogene","IGLVIV-53"
"337","ENSG00000253936","IG_V_pseudogene","IGHV3-63"
"338","ENSG00000253941","IG_V_pseudogene","IGHVII-51-2"
"339","ENSG00000253957","IG_V_pseudogene","IGHV3-22"
"340","ENSG00000253963","IG_V_pseudogene","IGLV3-2"
"341","ENSG00000253989","IG_V_pseudogene","IGHVIII-38-1"
"342","ENSG00000253998","IG_V_pseudogene","IGKV2-29"
"343","ENSG00000253999","IG_V_pseudogene","IGKV3D-31"
"344","ENSG00000254009","IG_V_pseudogene","IGKV2D-38"
"345","ENSG00000254036","IG_V_pseudogene","IGHVIII-67-2"
"346","ENSG00000254045","IG_V_pseudogene","IGHVIII-22-2"
"347","ENSG00000254046","IG_V_pseudogene","IGHV1-17"
"348","ENSG00000254052","IG_V_pseudogene","IGHVIII-67-4"
"349","ENSG00000254053","IG_V_pseudogene","IGHVIII-5-2"
"350","ENSG00000254056","IG_V_pseudogene","IGHV3-71"
"351","ENSG00000254073","IG_V_pseudogene","IGLVVII-41-1"
"352","ENSG00000254075","IG_V_pseudogene","IGLVV-66"
"353","ENSG00000254077","IG_V_pseudogene","IGLV3-7"
"354","ENSG00000254097","IG_V_pseudogene","IGKV3D-25"
"355","ENSG00000254098","IG_V_pseudogene","IGKV2-26"
"356","ENSG00000254134","IG_V_pseudogene","IGHVII-74-1"
"357","ENSG00000254157","IG_V_pseudogene","IGKV2-18"
"358","ENSG00000254161","IG_V_pseudogene","IGLVIV-65"
"359","ENSG00000254174","IG_V_pseudogene","IGHV1-12"
"360","ENSG00000254175","IG_V_pseudogene","IGLVI-42"
"361","ENSG00000254176","IG_V_pseudogene","IGHV3-75"
"362","ENSG00000254203","IG_V_pseudogene","IGHVII-33-1"
"363","ENSG00000254215","IG_V_pseudogene","IGHVIII-11-1"
"364","ENSG00000254220","IG_V_pseudogene","IGKV2D-18"
"365","ENSG00000254228","IG_V_pseudogene","IGHV3-42"
"366","ENSG00000254240","IG_V_pseudogene","IGLVI-20"
"367","ENSG00000254264","IG_V_pseudogene","IGKV3OR22-2"
"368","ENSG00000254279","IG_V_pseudogene","IGHVII-1-1"
"369","ENSG00000254289","IG_V_pseudogene","IGHV3-32"
"370","ENSG00000254292","IG_V_pseudogene","IGKV2D-14"
"371","ENSG00000254308","IG_V_pseudogene","IGLVIV-59"
"372","ENSG00000254326","IG_V_pseudogene","IGHV7-27"
"373","ENSG00000254329","IG_V_pseudogene","IGHVII-60-1"
"374","ENSG00000254345","IG_V_pseudogene","IGKV2D-23"
"375","ENSG00000254355","IG_V_pseudogene","IGLVI-68"
"376","ENSG00000254395","IG_V_pseudogene","IGHV4-55"
"377","ENSG00000259337","IG_V_pseudogene","IGHV1OR15-2"
"378","ENSG00000259852","IG_V_pseudogene","IGHV1OR16-2"
"379","ENSG00000259997","IG_V_pseudogene","IGHV1OR16-4"
"380","ENSG00000260048","IG_V_pseudogene","IGHV1OR16-3"
"381","ENSG00000261704","IG_V_pseudogene","IGHV1OR16-1"
"382","ENSG00000261834","IG_V_pseudogene","IGHV3OR16-15"
"383","ENSG00000270187","IG_V_pseudogene","IGKV1OR2-11"
"384","ENSG00000270252","IG_V_pseudogene","IGKV3OR2-5"
"385","ENSG00000270318","IG_V_pseudogene","IGHV3OR16-11"
"386","ENSG00000270356","IG_V_pseudogene","IGHV1OR15-4"
"387","ENSG00000270450","IG_V_pseudogene","IGKV2OR2-7"
"388","ENSG00000270474","IG_V_pseudogene","IGHV3-29"
"389","ENSG00000270685","IG_V_pseudogene","IGHV1OR15-6"
"390","ENSG00000270748","IG_V_pseudogene","IGKV2OR2-1"
"391","ENSG00000270864","IG_V_pseudogene","IGHV3OR16-6"
"392","ENSG00000270999","IG_V_pseudogene","IGKV1OR2-118"
"393","ENSG00000271015","IG_V_pseudogene","IGKV2OR2-7D"
"394","ENSG00000271138","IG_V_pseudogene","IGLVIVOR22-1"
"395","ENSG00000271288","IG_V_pseudogene","IGHV1OR15-3"
"396","ENSG00000271351","IG_V_pseudogene","IGKV1OR2-9"
"397","ENSG00000271402","IG_V_pseudogene","IGKV2OR2-2"
"398","ENSG00000271569","IG_V_pseudogene","IGKV1OR2-6"
"399","ENSG00000271620","IG_V_pseudogene","IGHV3OR16-7"
"400","ENSG00000275475","IG_V_pseudogene","IGHV3-54"
"401","ENSG00000275747","IG_V_pseudogene","IGHV3-79"
"402","ENSG00000276050","IG_V_pseudogene","IGKV2OR2-10"
"403","ENSG00000276674","IG_V_pseudogene","IGKV1OR1-1"
"404","ENSG00000278473","IG_V_pseudogene","IGHV3-41"
"405","ENSG00000278537","IG_V_pseudogene","IGKV2OR2-8"
"406","ENSG00000280655","IG_V_pseudogene",NA
"407","ENSG00000281550","IG_V_pseudogene",NA
"408","ENSG00000282600","IG_V_pseudogene","IGHV3-69-1"
"409","ENSG00000283195","IG_V_pseudogene","IGHVII-43-1"
